# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 15 mm
# Rotation step angle: 2.3999999999999995°
# sensor pos #1: 5 mm
# sensor pos #2: 50 mm
# sensor pos #3: 85 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]; X2_magn [mT]; Y2_magn [mT]; Z2_magn [mT]; X3_magn [mT]; Y3_magn [mT]; Z3_magn [mT]
264.0;  -62.830000;   15.899000;  -11.050000;  -65.513000;   -1.612600;  -17.666000;  -63.507000;   -7.606500;  -20.674000
266.4;  -58.274000;   -7.311200;  -26.293000;  -61.805000;   -1.893100;  -23.823000;  -60.609000;   15.081000;  -16.173000
268.8;  -56.986000;   14.085000;  -21.081000;  -56.631000;   -2.056600;  -29.439000;  -51.947000;   -6.876200;  -31.251000
271.2;  -44.894000;   -6.297400;  -35.715000;  -50.184000;   -2.214200;  -34.633000;  -52.003000;   12.766000;  -25.718000
273.6;  -46.200000;   11.367000;  -29.711000;  -43.531000;   -2.293700;  -38.951000;  -37.927000;   -5.632700;  -39.413000
276.0;  -30.253000;   -4.859400;  -42.680000;  -36.479000;   -2.375100;  -42.773000;  -39.826000;    9.765400;  -33.216000
278.4;  -33.278000;    7.996200;  -36.196000;  -28.858000;   -2.401600;  -45.946000;  -21.783000;   -4.012100;  -45.295000
280.8;  -13.011000;   -3.101400;  -47.135000;  -20.647000;   -2.359800;  -48.414000;  -26.267000;    6.120200;  -38.660000
283.2;  -18.336000;    4.112400;  -40.575000;  -11.845000;   -2.289600;  -50.120000;   -4.007700;   -2.104400;  -48.236000
285.6;    4.484100;   -1.112300;  -48.630000;   -3.334700;   -2.187700;  -51.021000;  -10.322000;    2.121400;  -41.760000
288.0;   -2.198100;    0.046391;  -42.242000;    5.175700;   -2.029000;  -51.195000;   13.300000;   -0.073098;  -48.391000
