# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 1 mm
# Rotation step angle: 1.2°
# sensor pos #1: 0 mm
# sensor pos #2: 60 mm
#
# ZPos#; a[°]; X1_magn[mT]; Y1_magn[mT]; Z1_magn[mT]
 1;355.2;  109.960000;  -34.266000;   -0.170210
 1;356.4;  110.230000;  -34.243000;    3.170400
 1;357.6;  110.790000;  -34.150000;    6.535100
 1;358.8;  111.620000;  -33.987000;   10.142000
 2;  0.0;  113.410000;    4.825200;   29.671000
 2;  1.2;  113.470000;    5.085900;   36.215000
 2;  2.4;  110.150000;    5.306900;   42.751000
 2;  3.6;  102.160000;    5.474200;   48.808000
 2;  4.8;   89.305000;    5.589200;   54.245000
 2;  6.0;   74.806000;    5.607900;   58.503000
 2;  7.2;   63.055000;    5.570900;   61.471000
 2;  8.4;   56.806000;    5.502200;   63.481000
 2;  9.6;   55.679000;    5.446200;   65.208000
 2; 10.8;   57.813000;    5.433900;   67.301000
 2; 12.0;   60.467000;    5.450300;   70.147000
 2; 13.2;   60.251000;    5.487600;   73.722000
 2; 14.4;   54.359000;    5.515600;   77.488000
 2; 15.6;   41.956000;    5.496600;   80.858000
 2; 16.8;   25.070000;    5.384200;   83.258000
 2; 18.0;    9.007100;    5.195600;   84.280000
 2; 19.2;   -1.522300;    4.967100;   84.079000
 2; 20.4;   -5.028100;    4.745300;   83.273000
 2; 21.6;   -3.758500;    4.548900;   82.627000
 2; 22.8;   -1.260900;    4.396600;   82.586000
 2; 24.0;   -1.541700;    4.262900;   83.289000
 2; 25.2;   -8.029700;    4.128100;   84.314000
 2; 26.4;  -21.192000;    3.944700;   84.920000
 2; 27.6;  -37.980000;    3.689700;   84.455000
 2; 28.8;  -53.987000;    3.377200;   82.578000
 2; 30.0;  -64.067000;    3.003800;   79.419000
 2; 31.2;  -66.784000;    2.649800;   75.646000
 2; 32.4;  -64.689000;    2.338700;   72.103000
 2; 33.6;  -61.412000;    2.073600;   69.320000
 2; 34.8;  -59.976000;    1.848100;   67.246000
 2; 36.0;  -63.302000;    1.632200;   65.639000
 2; 37.2;  -72.820000;    1.376500;   63.898000
 2; 38.4;  -86.888000;    1.059400;   61.346000
 2; 39.6; -101.430000;    0.700970;   57.583000
 2; 40.8; -112.640000;    0.278280;   52.330000
 2; 42.0; -117.980000;   -0.177650;   45.955000
 2; 43.2; -118.460000;   -0.595120;   39.154000
 2; 44.4; -116.500000;   -1.002100;   32.540000
 2; 45.6; -113.820000;   -1.331100;   26.491000
 2; 46.8; -111.060000;   -1.616400;   20.829000
 2; 48.0; -108.710000;   -1.879600;   15.626000
 2; 49.2; -106.910000;   -2.096200;   10.889000
 2; 50.4; -105.730000;   -2.297800;    6.631500
 2; 51.6; -105.170000;   -2.475600;    2.613900
 2; 52.8; -105.190000;   -2.676500;   -1.423300
 2; 54.0; -105.810000;   -2.866500;   -5.594700
 2; 55.2; -107.060000;   -3.064400;   -9.925000
 2; 56.4; -108.800000;   -3.289200;  -14.512000
 2; 57.6; -110.940000;   -3.510700;  -19.462000
 2; 58.8; -113.310000;   -3.751900;  -25.042000
 2; 60.0; -115.280000;   -4.019200;  -31.348000
 2; 61.2; -115.470000;   -4.281400;  -38.108000
 2; 62.4; -111.840000;   -4.511000;  -44.855000
 2; 63.6; -102.780000;   -4.673100;  -51.147000
 2; 64.8;  -88.456000;   -4.741000;  -56.621000
 2; 66.0;  -72.692000;   -4.728700;  -60.791000
 2; 67.2;  -60.595000;   -4.660400;  -63.550000
 2; 68.4;  -54.881000;   -4.575200;  -65.341000
 2; 69.6;  -54.753000;   -4.501300;  -66.899000
 2; 70.8;  -57.936000;   -4.466900;  -68.973000
 2; 72.0;  -61.248000;   -4.476700;  -71.913000
 2; 73.2;  -61.037000;   -4.500900;  -75.635000
 2; 74.4;  -54.218000;   -4.512900;  -79.556000
 2; 75.6;  -40.236000;   -4.466600;  -82.951000
 2; 76.8;  -21.987000;   -4.307900;  -85.254000
 2; 78.0;   -5.582300;   -4.091700;  -86.029000
 2; 79.2;    4.107300;   -3.825100;  -85.573000
 2; 80.4;    6.210400;   -3.569700;  -84.618000
 2; 81.6;    3.748100;   -3.365800;  -83.957000
 2; 82.8;    0.645400;   -3.208600;  -84.049000
 2; 84.0;    1.252000;   -3.071200;  -84.918000
 2; 85.2;    9.086300;   -2.904600;  -86.056000
 2; 86.4;   23.984000;   -2.693600;  -86.609000
 2; 87.6;   42.045000;   -2.422200;  -85.951000
 2; 88.8;   58.176000;   -2.068600;  -83.734000
 2; 90.0;   67.148000;   -1.671600;  -80.247000
 2; 91.2;   68.366000;   -1.299700;  -76.267000
 2; 92.4;   65.174000;   -0.979350;  -72.650000
 2; 93.6;   61.413000;   -0.733650;  -69.924000
 2; 94.8;   60.168000;   -0.514460;  -67.951000
 2; 96.0;   64.387000;   -0.271000;  -66.430000
 2; 97.2;   75.212000;   -0.009619;  -64.638000
 2; 98.4;   90.353000;    0.316740;  -61.892000
 2; 99.6;  105.170000;    0.696490;  -57.844000
 2;100.8;  115.670000;    1.126300;  -52.302000
 2;102.0;  119.910000;    1.573600;  -45.662000
 2;103.2;  119.550000;    1.990300;  -38.691000
 2;104.4;  117.100000;    2.350300;  -32.037000
 2;105.6;  114.180000;    2.655400;  -25.957000
 2;106.8;  111.340000;    2.933900;  -20.348000
 2;108.0;  108.980000;    3.175100;  -15.231000
 2;109.2;  107.220000;    3.372700;  -10.560000
 2;110.4;  106.100000;    3.563100;   -6.313800
 2;111.6;  105.620000;    3.722900;   -2.315800
 2;112.8;  105.710000;    3.904000;    1.724800
 2;114.0;  106.420000;    4.083300;    5.901000
 2;115.2;  107.720000;    4.283000;   10.306000
 2;116.4;  109.550000;    4.484700;   14.959000
 2;117.6;  111.730000;    4.690800;   20.006000
 2;118.8;  114.030000;    4.929800;   25.738000
 2;120.0;  115.730000;    5.180300;   32.136000
 2;121.2;  115.250000;    5.419300;   38.955000
 2;122.4;  110.520000;    5.617600;   45.670000
 2;123.6;  100.270000;    5.749800;   51.793000
 2;124.8;   85.205000;    5.793100;   57.034000
 2;126.0;   69.897000;    5.758400;   60.877000
 2;127.2;   59.032000;    5.674700;   63.386000
 2;128.4;   54.502000;    5.558600;   65.075000
 2;129.6;   55.137000;    5.468600;   66.679000
 2;130.8;   58.413000;    5.422700;   68.860000
 2;132.0;   61.158000;    5.408900;   71.911000
 2;133.2;   59.732000;    5.420100;   75.676000
 2;134.4;   51.405000;    5.396500;   79.479000
 2;135.6;   36.521000;    5.305000;   82.632000
 2;136.8;   18.490000;    5.128800;   84.576000
 2;138.0;    3.266100;    4.898400;   85.058000
 2;139.2;   -4.961000;    4.632200;   84.404000
 2;140.4;   -6.274000;    4.398800;   83.418000
 2;141.6;   -3.790700;    4.200500;   82.801000
 2;142.8;   -1.436500;    4.032900;   82.922000
 2;144.0;   -3.305400;    3.882700;   83.709000
 2;145.2;  -12.251000;    3.702000;   84.639000
 2;146.4;  -27.504000;    3.469000;   84.883000
 2;147.6;  -44.622000;    3.165800;   83.918000
 2;148.8;  -59.025000;    2.816700;   81.484000
 2;150.0;  -66.493000;    2.438000;   77.945000
